,tweet_text,user_screen_name,user_name,user_location,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,tweet_created_at,tweet_id ,RT,Hashtag,Clean Tweets,Subjectivity Score,Polarity Score,Analysis
1167,"RT @andydxblad: If no-one can compete with City (despite United and Liverpool having higher revenues than City)...

...Then how did Palace…",_generallexis,L e x i s 👽,Ghana,1058,1762,1,12790,2021-03-03 23:23:10,1367254251857207296,Retweet,False," If no-one can compete with City (despite United and Liverpool having higher revenues than City)...

...Then how did Palace…",0.5,0.25,Positive
1168,@__CalMc Was everyone else’s fault when he failed to deliver year after year as Liverpool captain.,joem1967_,Joe M,"Omagh, Ireland",622,487,1,16228,2021-03-03 23:23:09,1367254245184053250,Tweet,False,@_ Was everyone else’s fault when he failed to deliver year after year as Liverpool captain.,0.3,-0.5,Negative
1169,@jeremykopite @Rachael_Swindon @KimJohnsonMP @jeremykopite &amp; @KimJohsnon Do you believe that it was right or wrong… https://t.co/1PqAWyRVC6,RegJPF,Reg,Liverpool/Judea Peoples Rep. ,901,4928,4,1941,2021-03-03 23:23:06,1367254235184824324,Tweet,False,    &amp;  Do you believe that it was right or wrong… ,0.5357142857142857,0.2857142857142857,Positive
1170,"Leicester and United drop points. Hopefully, Chelsea can capitalise on that. I know Liverpool would surely want to",CfcNaruto,CFCNaruto,"Welland, Ontario",104,168,0,2978,2021-03-03 23:23:04,1367254227886694401,Tweet,False,"Leicester and United drop points. Hopefully, Chelsea can capitalise on that. I know Liverpool would surely want to",0.8888888888888888,0.5,Positive
1171,"RT @Hikari_Yamii: As a Liverpool fan, seeing all the Rangers fans appreciate Stevie G like we do/used to as a player is so heartwarming.…",Teebear138,💙NS💙Ellebear💙RTID💙,Ibrox,1391,1443,5,12318,2021-03-03 23:23:02,1367254216679579654,Retweet,False," As a Liverpool fan, seeing all the Rangers fans appreciate Stevie G like we do/used to as a player is so heartwarming.…",0.0,0.0,Neutral
1172,RT @SunSport: Liverpool star Wijnaldum 'reaches Inter Milan transfer agreement' ahead of move https://t.co/Nv2bqyDr4q,IamHman_kkh,Oladayo Henry,Maryland,145,480,1,56,2021-03-03 23:23:01,1367254211612839945,Retweet,False, Liverpool star Wijnaldum 'reaches Inter Milan transfer agreement' ahead of move ,0.0,0.0,Neutral
1173,RT @BazaarUK: Liverpool Biennial 2021: Five female artists to watch out for https://t.co/2t1mzG4ai6,KathMotley,Katherine Motley,"Edinburgh, Scotland",68,625,2,4350,2021-03-03 23:22:58,1367254202603429889,Retweet,False, Liverpool Biennial 2021 Five female artists to watch out for ,0.16666666666666666,0.0,Neutral
1174,"RT @AnthonyTeasdale: My favourite pic of Liverpool. We're not English, we're New Yorkers! https://t.co/jMObqxdde1",reddickpaul,Paul Reddick,,127,381,3,15954,2021-03-03 23:22:57,1367254196043546624,Retweet,False," My favourite pic of Liverpool. We're not English, we're New Yorkers! ",0.22727272727272727,0.08522727272727272,Positive
1175,"RT @SoccerAM: Who is the better side?⭐

🔁 RT for Man City this season
❤️ FAV for Liverpool last season https://t.co/QMVliwiF6g",NynaNatasha,Nina Natasha 🌸,,830,659,0,5151,2021-03-03 23:22:54,1367254184513302534,Retweet,False," Who is the better side?⭐

🔁 for Man City this season
❤️ FAV for Liverpool last season ",0.2833333333333333,0.25,Positive
1176,"RT @JRCooper26: Only five teams (Liverpool, Man City, Leicester x2, Burnley and Newcastle) have won their Premier League match directly aft…",deanparis78,deanparis,uk ,724,975,4,103710,2021-03-03 23:22:52,1367254175797686274,Retweet,False," Only five teams (Liverpool, Man City, Leicester x2, Burnley and Newcastle) have won their Premier League match directly aft…",0.7,0.05,Positive
1177,"@lfcalexx I do the same thing and I live in Liverpool lol, but Scandinavian water is meant to be some of the cleanest water in the world",PhilB_LFC,Phil,Liverpool,2332,3256,6,88548,2021-03-03 23:22:50,1367254165437710340,Tweet,False," I do the same thing and I live in Liverpool lol, but Scandinavian water is meant to be some of the cleanest water in the world",0.44166666666666665,0.31212121212121213,Positive
1178,"RT @TheEagleDares: This was not like the Mike Cammalleri situation. Come on, now. 

#Habs",13_liverpool,Tyler Liverpool_13,,538,3191,2,26700,2021-03-03 23:22:49,1367254161230880780,Retweet,True," This was not like the Mike Cammalleri situation. Come on, now. 

Habs",0.0,0.0,Neutral
1179,@quame_age This energy I’m gonna take same support Liverpool tomorrow 😂😂😂😂,rocky_starboi,STARBOI,Everywhere😍,3115,2988,1,28377,2021-03-03 23:22:40,1367254124505554944,Tweet,False, This energy I’m gonna take same support Liverpool tomorrow 😂😂😂😂,0.125,0.0,Neutral
1180,RT @zarahsultana: Watching you in Parliament yesterday saying you cared about the Yemeni people while slashing their aid and selling bombs…,liverpool_Jon,Jonathan Marshall 3.5%. Remainer to the end. 💙,"Samsung: 53.383004,-2.942602",532,1090,7,13216,2021-03-03 23:22:39,1367254119774359552,Retweet,False, Watching you in Parliament yesterday saying you cared about the Yemeni people while slashing their aid and selling bombs…,0.0,0.0,Neutral
1181,RT @fcDavee: Salah scored more goals in his first season with Liverpool (44) than Mahrez has in his entire City career (33),germaine_lorcan,Bong Jesus,,74,123,0,4257,2021-03-03 23:22:38,1367254116263690245,Retweet,False, Salah scored more goals in his first season with Liverpool (44) than Mahrez has in his entire City career (33),0.4861111111111111,0.25,Positive
1182,@TelegraphDucker You may call that #drift I call it CONSISTENCY. They are who they are. I think it's organizational… https://t.co/tOEVhOu7ax,courtines,CFCP Productions,"San Diego, CA",1017,2320,82,13705,2021-03-03 23:22:29,1367254078338723848,Tweet,True, You may call that drift I call it CONSISTENCY. They are who they are. I think it's organizational… ,0.0,0.0,Neutral
1183,You wanna know how useless Ole and his team is? Look at how many games Liverpool have lost and how bad they've been… https://t.co/RAGKscVPGn,Bishop_kanny,KUNLE SALAKO,Lagos,427,273,2,92910,2021-03-03 23:22:27,1367254069996355590,Tweet,False,You wanna know how useless Ole and his team is? Look at how many games Liverpool have lost and how bad they've been… ,0.45555555555555555,-0.23333333333333328,Negative
1184,RT @Christi64914989: Liverpool are on the verge of calling a vote of no confidence in Starmer,matteo_turns,Matteo Turns 🌹,,190,522,0,26402,2021-03-03 23:22:27,1367254069841186821,Retweet,False, Liverpool are on the verge of calling a vote of no confidence in Starmer,0.0,0.0,Neutral
1185,@JuveVic6 The last time I watched them was against Liverpool that ended liverpool win,A7mad20KK,Ahmad🇱🇧🇪🇸,,1617,2029,7,25929,2021-03-03 23:22:27,1367254069384007683,Tweet,False, The last time I watched them was against Liverpool that ended liverpool win,0.23333333333333334,0.4,Positive
1186,RT @davidmcgeoch9: Hearing that lots of people have joined the SNP tonight and i'm one of them.,liverpool_Jon,Jonathan Marshall 3.5%. Remainer to the end. 💙,"Samsung: 53.383004,-2.942602",532,1090,7,13216,2021-03-03 23:22:23,1367254055601471489,Retweet,False, Hearing that lots of people have joined the SNP tonight and i'm one of them.,0.0,0.0,Neutral
1187,"@sulaiman99_ Haven't actually watched their game since the Liverpool win
So I no too sabi where him de play like th… https://t.co/ykoCVEl0E4",Pi_hus1,S.A.I.N.T Pius💎,Out of Nigeria in Jesus name,1669,1367,1,62287,2021-03-03 23:22:23,1367254052342554631,Tweet,False,"_ Haven't actually watched their game since the Liverpool win
So I no too sabi where him de play like th… ",0.3,0.13333333333333333,Positive
